fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251208 112423	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0102446125788658	0.300433018347787	1095	10	3.33967763099789	4.65777615868021	0.810775644211361	7440	56.7980530184422	78.8417140526133	78.8417140526133	47
20251208 112505	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0268435925735721	0.300363123473573	275	12	0.945985357018389	4.38997364595408	0.60765515093759	3493	57.4120298945018	81.1770671549083	81.1770671549083	48
20251208 112707	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0112798267056767	0.301385240716433	986	22	4.30851489260823	1.81626551124994	0.605254925973044	16354	60.8328085038989	87.8825462197756	87.8825462197756	49
20251208 115855	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100751079835069	0.828214940059156	1478	83	0.541986734842833	7.69334125607119	0.659861700863355	99999	97.1472651077778	126.392109776442	126.392109776442	50
20251208 120021	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115906786451417	0.300413427562596	326	5	0.946211676410215	3.56455966187862	0.994890207110816	406	64.2153516036449	91.3209888440929	91.3209888440929	51
20251208 120027	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.157497589772678	0.300411345119571	294	11	4.94516400504708	4.14219058003318	0.911904382918115	425	61.4086923361004	86.4914227629515	86.4914227629515	52
20251208 120142	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0166525326636176	0.301070826608707	319	11	2.75496017664114	9.98345451440717	0.749906162079918	6995	56.5936592837912	80.5681350803361	80.5681350803361	53
20251208 120159	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0530652911398444	0.317790042093662	340	11	2.81345286937151	1.23675288459618	0.600483088816207	1229	59.7832257476543	79.8802474964881	79.8802474964881	54
20251208 120239	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0471151780165735	0.570013851455963	233	10	0.625130159332896	2.87931246774832	0.600147181095683	1765	61.3516077911433	89.4740835877063	89.4740835877063	55
20251208 120629	3112	389	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0161652032809668	0.696720260337972	1171	24	1.78407151580737	9.32745319860953	0.600296555602196	9762	64.1868719909671	93.0148535021271	93.0148535021271	56
