fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251209 145313	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0964473610116069	0.679432742540458	646	241	0.100688467708616	2.42016222560778	0.677897573242496	1	274.470777350186	310.644551382509	310.644551382509	57
20251209 150732	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0124130745368477	0.540416713000741	1141	92	1.34913083382084	9.58030102491778	0.995230862568133	78159	80.2554540793802	112.194473707679	112.194473707679	58
20251209 150741	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.196623732854163	0.448260361970668	1026	218	2.159073910651	9.79911338945385	0.707339297278252	15	274.470777350186	310.644551382509	310.644551382509	59
20251209 151103	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0255829474166135	0.507296367809509	204	73	3.41110014364988	0.324106289689163	0.727802578689131	22442	71.5128731964976	109.108020679162	109.108020679162	60
20251209 151136	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111238640683523	0.878439335028222	13	194	4.97267998540483	1.60797997403646	0.600450093751814	4388	95.9654512453301	133.926584442263	133.926584442263	61
20251209 151216	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.132664382965977	0.658409820012948	701	49	2.72801939792913	8.48640211262131	0.737785575368202	2345	70.7326285848977	100.74518667604	100.74518667604	62
20251209 152310	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.12984711004364	0.873392120877576	10	191	4.97925940985529	0.852173896373249	0.625648268351038	10248	91.1427916404017	132.212223109444	132.212223109444	63
20251209 152348	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.135354461640012	0.657708469427417	692	49	2.72243127516258	8.31269202858949	0.73775847192158	2156	76.4669353086442	103.400696528938	103.400696528938	64
20251209 154726	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.117691553777082	0.588583475377035	733	48	2.99408017488248	7.60281097608412	0.714709419121038	3597	57.9002517408095	95.5143436161203	95.5143436161203	65
20251209 154957	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0723520742475223	0.687922379934015	1052	60	1.20291437248499	5.70049009812817	0.616468624277835	11296	79.8840598948688	98.4800244802111	98.4800244802111	66
20251209 180325	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.107044743099872	0.726323761462424	1094	65	1.29638582911582	8.00269998482399	0.606185851268441	2111	95.6282852467585	116.157353953843	116.157353953843	67
20251209 180402	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.167403126515511	0.80896650308961	378	35	1.90033296847212	2.63743235668653	0.735070737203005	869	69.5691186803526	99.6437314446202	99.6437314446202	68
20251209 181741	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0116987882470303	0.897888472494072	1497	177	0.0322013498484893	9.78919288135614	0.886836573695277	57868	94.5179872157378	126.154488538315	126.154488538315	69
20251209 181831	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.164917083391814	0.507994821801843	560	38	3.99677044934444	4.38704913862311	0.954131816362211	2472	70.5811074171906	104.50611325946	104.50611325946	70
20251209 182410	3145	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.018671927181088	0.555309206691114	1023	45	0.931541428481651	1.46914647629552	0.829627003551228	25416	64.3742957743126	104.298676414728	104.298676414728	71
