fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	ganancia	iteracion_bayesiana
20251201 162825	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0103443631438007	0.523197118030094	1137	33	4.56921639790895	9.92734594475313	0.866431279192718	51570	88.8652887740591	76
20251201 162845	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.152002986207104	0.308580768767411	134	17	4.99632824681699	5.44878915108712	0.735658630770124	2115	90.3561189588097	77
20251201 163438	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0106959964915003	0.564509432617721	1500	15	0.958277412251814	5.53866653630557	0.633004829984232	22350	86.724335508377	78
20251201 163457	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199877550096664	0.856885488374299	1239	5	0.0645297918701131	0.683743651222828	0.675237349014146	422	67.0574309063525	79
20251201 163626	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.18547273537975	0.304433824474153	1331	89	0.365491643327196	4.37129043843917	0.999732818081709	18586	90.8543299838783	80
20251201 163838	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.129377711359078	0.30111077093589	50	93	0.170935857433988	9.88536366343048	0.621196469363741	29336	97.4579018348794	81
20251201 163854	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199563589498919	0.749172706113714	1162	5	0.563445278449394	4.17366800264994	0.602184460997897	494	89.6332262915546	82
20251201 164106	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0898198049231974	0.375315530577284	1081	78	1.45949484188605	9.61554190656641	0.999110412876468	20505	94.8826985293341	83
20251201 164120	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.175731082246774	0.489039562052008	371	8	0.707118222287239	0.0118419761879308	0.720334799185381	457	68.8648744002474	84
20251201 164620	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100971731049122	0.503055624956473	1150	5	0.981457130178848	9.83896337709212	0.760395560393864	14307	75.6303000845156	85
20251201 164745	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.173454810213239	0.897215346379475	257	60	4.32622905167861	7.03430468874092	0.601167250536681	9608	97.6305013074104	86
20251201 165010	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0107118131294376	0.545050113805446	1142	5	4.47514072167717	3.32832949328748	0.604739365897	6712	80.152416963507	87
